lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M3_Male_WT_cerebellum,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,Blank_Blank_Blank_Blank_Blank
[TG(62:13)|TG(61:6)]_FA20:4,-1.2498048032644247,5.216756122764132,17.637696165746096,2.672384987428794e-5,0.005749190902955145,TAG,63904.704345703125,53197.044006347656,80935.7063293457,55849.02392578125,68924.36489868164,115610.2489013672,128850.70825195312,78703.96551513672,167674.17050170898,149036.99151611328,54389.20349121094,95024.84729003906,99758.32678222656,93548.5267944336,408915.791015625,79244.125244140625,294118.45880126953,272560.9788208008,410278.1093139648,258407.4586181641,125522.34991455078,317983.5610961914,29583.88220214844
[TG(64:13)|TG(63:6)]_FA22:5,-1.221946421029242,5.96098410731442,16.882158027807233,3.9773695558761446e-5,0.0080218572230077,TAG,125230.4287109375,141369.35083007812,149023.75170898438,125608.66967773438,102079.38720703124,211101.2919921875,226806.31665039065,114520.80780029295,170590.39163208008,199058.95504760745,125647.5689086914,135720.32904052734,200566.19464111328,177444.37393188477,623314.0618896484,142088.2706298828,586188.862487793,438396.7909545898,681079.5875549316,397616.86083984375,207057.07467651367,532975.6006469727,33197.52230834961
DG(36:3)_C18:0,-1.2089356258741475,5.752262072943707,16.534357024167548,4.777649157925051e-5,0.009069102254484788,DAG,57435.88405609131,59015.70421600342,409929.85357666016,56880.88399887085,58930.72445678711,64284.12452316284,65589.16469955444,420651.6709022522,55329.80409622192,65875.72467041016,58330.084033966064,56192.32408905029,58645.66415786743,57656.14430618286,59841.54425430298,56077.08395767212,931371.2541313173,63198.22480773926,62208.74425125122,60623.46455001831,3222199.0540618896,64007.36476135254,65619.12463378906
PE(38:3),-1.1385488517189462,7.770622757636316,14.711108815441548,1.2530587828458463e-4,0.022464559401353033,PE,319165.9406738281,434419.5703125,288274.78088378906,211852.5546875,484113.53759765625,653549.2912597656,876158.7987060547,281976.2409667969,1874537.7575683596,673974.6247558594,445352.6926269531,1360535.1088867188,372071.2834472656,366301.8857421875,390681.7878417969,824770.82275390625,3420122.5803222656,2445326.789794922,720438.8970947266,3938309.053222656,2513095.718017578,379877.4064941406,87890.98571777344
DG(36:7)|DG(35:0)_C16:1,-1.120820468904279,8.81944085869603,14.267312957883405,1.5859520765349372e-4,0.02558933675489121,DAG,213903.95594406128,924200.7593955994,1771518.3978233335,24096.16180801392,69244.86484909058,3194.140235900879,222885.69778823853,78713.88589859009,17909.121170043945,97497.04642105104,238499.53763198853,3829808.881164551,2384196.1049804688,299031.7415962219,58823.12393569946,55226.8634185791,22209.7614364624,343761.58837127686,677496.3307037354,107084.86680984496,40897.40303039551,151314.62926101685,15056646.359405518
PC(32:3)|PC(P-33:2),-1.1243539066548103,12.318833196232365,14.355372660450364,1.5134719440327608e-4,0.02558933675489121,PC,7424937.083007812,17497126.163330078,7189797.235839844,6056505.651855469,15506452.53125,14654124.754882812,18003078.581054688,7110721.470458984,32222819.1940918,7804706.3837890625,15210182.76953125,41904555.84765625,11624599.513671877,16518171.092285156,16922622.252441406,30566792.14892578,62935828.0480957,42274791.74951172,23796250.716796875,66211182.37988281,46498177.21179199,7117088.7333984375,254985.2386474609
PC(32:2)|PC(O-33:2)|PC(P-33:1),-1.1089035840290975,12.578500736465795,13.972701319536238,1.854842916534854e-4,0.028502752817418923,PC,8790351.5693359375,20530130.572753903,8464196.259765625,6988870.401855469,18561911.8984375,17727225.94140625,21927546.04296875,8298647.094604492,39499901.58129883,11001251.811523438,18159744.668945312,48670104.20751953,14174316.176269531,19302049.50036621,20632364.10546875,36577072.41821289,74335020.02978516,51809338.8515625,28681664.74023437,78068649.15625,56439835.62219238,8616209.030761719,256284.6384277344
DG(37:4)_C16:1,-1.0964428432681024,8.036949215123439,13.667532507999567,2.1819446777732862e-4,0.03061363250075824,DAG,38202.14278411865,318890.8780708313,197078.99267196652,35878.12254333496,35530.642780303955,5633232.351043701,1796300.1379394531,558610.28955078125,37245.842655181885,41893.20293807984,35696.70264053345,766270.7359771729,542675.7545471191,255512.80290222168,36888.88260650635,34804.762592315674,8200150.804519653,5743482.041870117,760026.1086730957,103009.04527282716,4309899.743774414,162884.57500076294,43886.56324768066
PC(32:1)|PC(O-33:1)|PC(P-33:0),-1.0970905479251503,12.670885729709585,13.683361611376668,2.1636294917274276e-4,0.03061363250075824,PC,9282440.0439453125,21730309.96777344,9227719.1298828125,7524932.8388671875,19745601.698242188,19036421.07910156,23483031.116210938,8910947.02722168,42384609.93066406,11863462.823242188,19783156.635253903,51398200.54003906,15045501.889648438,20608324.263916016,21900852.4375,38609273.13867188,79129351.67456055,55961833.15527344,30435006.81591797,82526737.84082031,60413125.39624024,9272259.642578123,246056.3389892578
PC(32:0)|PC(O-33:0),-1.0927651966059357,12.70757743407104,13.578124676499797,2.2883674075600252e-4,0.030769006767484175,PC,9667545.9541015625,22478557.96044922,9231687.3671875,7618537.83203125,20424963.87890625,19736529.434570312,24208102.279296875,9197153.11767578,43483521.82885742,12312740.530273438,20061459.299316406,52495409.615234375,15372557.967773438,20786253.123046875,22343351.661621097,39481386.27783203,81210745.35302734,57465502.00878906,31351414.17626953,84844352.78613281,62442097.81311035,9493185.2578125,242903.3336181641
PC(32:4),-1.072743298373757,11.494608859165933,13.09592224898661,2.9593926957691954e-4,0.03162414776908197,PC,4548416.174804688,10120347.66821289,4500689.453125,3716213.7666015625,8950486.692871094,8488027.575683594,10224168.577148438,4427382.724243164,17862777.779174805,4751348.2109375,8162506.030029297,24826600.25415039,6576170.349121094,9385829.808166504,9466357.35205078,16715297.188720703,35299094.533203125,23121231.81103516,12496178.382080078,37102267.830566406,25093184.669311523,3944289.993896485,253017.7388916016
PC(33:0)|PC(O-34:0),-1.0735796837836369,12.784409766847842,13.115905043826398,2.9279932653916745e-4,0.03162414776908197,PC,10121124.323242188,23496393.337890625,10020209.626464844,8074538.349121094,21173904.533203125,21128123.870117188,25972139.319335938,9555370.99987793,46791235.3269043,13229644.086914062,21907211.52807617,54596621.986816406,16092640.575683594,21993857.66870117,23018909.80273437,41439030.682128906,85717354.42529297,61077562.8046875,32808569.013671875,88868714.50878906,66400970.47814941,9887293.770019531,219498.7763671875
PC(33:1)|PC(O-34:1)|PC(P-34:0),-1.0762180854113184,12.779718140128026,13.179026726572854,2.830997506669778e-4,0.03162414776908197,PC,10154559.393554688,23289623.919433597,10029553.782714844,7964402.627441406,20978964.393554688,21269994.75097656,25940437.751953125,9689615.199951172,46327745.92700195,13137565.633789062,21760379.19482422,54777704.87597656,15813237.86669922,22145184.411987305,23300827.83251953,41727396.990722656,84476003.04980469,60602840.875,32501340.26953125,88585138.83496094,66120642.61511231,9976630.088378906,237269.09716796875
PC(33:2)|PC(O-34:2)|PC(P-34:1),-1.0706862878118113,12.78067228573654,13.046845506647518,3.037956556682805e-4,0.03162414776908197,PC,10329702.48046875,23688838.53125,9974299.6328125,8036241.880371094,21317708.638671875,21116258.8046875,25636338.987304688,9672103.322387695,46396902.89892578,13096312.662109377,21718789.31958008,54404236.9140625,16056741.291503906,22198108.754638672,23334738.30859375,41538270.728515625,85009778.54248047,60432529.62011719,32622177.557128903,87867928.24511719,65994543.44885254,10095580.287109377,248116.97790527344
PC(33:4)|PC(O-34:4)|PC(O-34:4)|PC(P-34:3),-1.0787418425219089,12.777171991024112,13.239537972620887,2.741054647224623e-4,0.03162414776908197,PC,10239536.669921877,23120598.665039062,9987274.8779296875,8101702.806152344,21314924.073242188,20950629.307617188,25359297.556640625,9832126.356201172,45847560.255615234,13090691.391601562,21730917.38061523,54847123.330078125,16030121.941894531,22311449.60620117,23269547.799316406,41301827.72973633,84709956.4975586,60420030.427734375,32716100.26220703,87399653.208984375,66016864.357543945,10015534.108398438,267641.29919433594
PC(33:5)|PC(P-34:4),-1.083884604528453,12.756224430144972,13.363244430681242,2.566040032639748e-4,0.03162414776908197,PC,9975902.474609377,23207708.150390625,9705810.3671875,7821533.282226562,20725737.559570312,20507936.9921875,24948056.12890625,9507686.481323242,45406492.08227539,12929687.639648438,21388731.642578125,53921568.88720703,16083049.376953123,22045559.49584961,22585480.99560547,40801959.64819336,83635323.96118164,59629927.5078125,32459712.525390625,86735804.658203125,64704946.017456055,9866488.0400390625,260203.41662597656
PE(36:4)|PE(O-37:4),-1.076895430498466,7.745203091971371,13.195193225416006,2.806680614892587e-4,0.03162414776908197,PE,349327.4221191406,426957.650756836,404889.1691894531,221076.1768798828,487404.7336425781,703695.5944824219,854111.2164306641,308004.7197265625,1681061.4528808594,656390.5906982422,460259.3670654297,1346798.0341796875,414488.7325439453,415863.3293457031,421888.1517333984,863531.0770263672,3307400.5643310547,2280871.6212158203,755541.5720214844,3512245.492675781,2218425.670898437,422999.6525878906,98054.26770019533
[TG(56:12)|TG(55:5)]_FA20:4,-1.0676420755267229,8.322384842255282,12.974330610355537,3.157907425876273e-4,0.03184552269782104,TAG,224883.07421875,163200.61303710938,469187.8330078125,154129.2706298828,399648.5267333984,577527.54443359375,1651388.5362548828,1745164.748046875,2782827.8198242188,1772728.1029052734,233805.2147216797,285495.4991455078,461713.4095458984,284830.2196044922,1092348.844482422,279595.2629394531,2020193.540527344,4087223.669189453,5995713.366943359,3351130.218383789,881484.3349609375,3212746.7626953125,71398.02557373047
PC(33:3)|PC(O-34:3)|PC(P-34:2),-1.0594847089708543,12.78465576725092,12.781093567450927,3.501401811294212e-4,0.03423946559104976,PC,10326769.529296877,23800564.65185547,10134314.69580078,8217138.9951171875,21682801.446289062,21126592.38964844,26249109.640625,9768404.265258787,46544936.54370117,13212491.807617188,21635316.87402344,54713098.259765625,16275578.797851562,21782468.57763672,23447603.159179688,41459251.345703125,85212835.2836914,60583098.5703125,32676300.19091797,87733689.64355469,65530095.423828125,10092992.814453123,267630.37939453125
PC(34:6),-1.0568107007563061,12.816788949399616,12.718032305980817,3.621466085677565e-4,0.03437197370141618,PC,10636780.666992188,24045871.93603516,10344673.018554688,8027129.167480469,21913971.52050781,21985155.83398437,26542980.522460938,9860425.155883787,48517713.846191406,13887008.169921877,22365424.38623047,55531333.46728516,16309071.685058594,22781193.84387207,23987464.89111328,42582668.64086914,86825127.39990234,61980806.20117188,33381991.8046875,89294779.3046875,67573247.51721191,10247683.719726562,248373.1767578125
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,1.0501365526949062,5.32488812459482,12.560936001062146,3.9389440976230866e-4,0.03631706458008486,DAG,72196.02452087402,74657.90551376343,670992.5269775391,75735.20529174805,76896.1452217102,80471.06564712524,74099.36513137817,862384.1656913757,77407.82526779175,80330.60559082031,83031.26516723633,76261.76515197754,78651.4654045105,73034.04484558105,74756.4253540039,70286.46536636353,216486.1353683472,76273.36555862427,76778.96515655518,78007.0054473877,427538.63537979126,78643.90562438965,77638.42515563965
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,1.0501365526949062,5.32488812459482,12.560936001062146,3.9389440976230866e-4,0.03631706458008486,TAG,914942.324951172,950032.9061279296,944137.8299560548,1174842.62109375,918650.98876953125,393456.5476074219,541176.0421142578,1335421.1342773438,379333.2457275391,266354.4802246094,698424.3718261719,1046276.827392578,1014736.6262207032,1023316.6091308594,1001615.1068115234,806523.2109375,412236.3911132813,412963.9453125,1017466.7668457032,427389.6555175781,334921.5438232422,513269.7556152344,58990.14392089844
DG(36:8)|DG(35:1)_C16:1,-1.0350802791040594,10.462765967548464,12.210950014283299,4.750983494396465e-4,0.04258728815671498,DAG,862775.7349281311,4554793.443031311,5815818.770553589,2932.820198059082,2922.0002212524414,2930.680202484131,2924.7801933288574,26114.381992340088,8325.200462341309,3371.420238494873,3024.9401817321777,14146978.29548645,8866230.443603516,140383.89002609253,2948.5002098083496,2920.1802101135254,2926.9802284240723,2981.4202041625977,3109.32020187378,2932.80020904541,14782.580894470217,3070.420207977295,47492099.30102539
PE(37:6)|PE(O-38:6)|PE(P-38:5),-1.0328184248777017,7.041081234055089,12.158670186006933,4.886020122440418e-4,0.04261401874355467,PE,192629.4346923828,296156.9002685547,184708.9923095703,139298.05029296875,338470.14453125,438697.1740722656,572374.1954345703,181917.2724609375,1066094.9572753906,360231.3455810547,320866.5435791016,745007.6301269531,237175.61572265625,210001.71362304688,259109.55615234372,465625.9736328125,2072888.4025878904,1414588.7409667969,395321.00744628906,2123818.973876953,1590561.8583984375,276625.79919433594,87416.285888671875
[TG(62:12)|TG(61:5)]_FA20:4,-1.0200420217355743,5.485756281064931,11.86547474710801,5.718419117034915e-4,0.04731625254018376,TAG,79744.2055053711,67683.364990234375,100944.12707519533,70619.98544311523,106091.24813842772,152457.71240234375,192139.0547485352,107161.58728027344,210218.0536193848,214559.6539916992,72682.84558105469,104284.1275024414,150420.19079589844,105302.66680908205,354880.8842773437,100229.64724731444,388242.52545166016,326968.9045410156,494232.51626586914,295146.06018066406,171369.5321044922,372690.5848693848,30850.342376708984
LPC(20:4),-1.0211241371375424,5.314821550572448,11.890113565722459,5.643268061235314e-4,0.04731625254018376,PC,90255.306396484375,100585.08752441406,109758.30883789062,75833.664306640625,104041.66693115234,120470.2689819336,129295.36798095705,92715.10693359376,147023.0703125,106939.18743896484,84351.20635986328,241666.18041992188,160215.17193603516,210384.97576904297,191169.71435546875,181467.0740966797,343479.4444580078,318760.9631347656,218897.1149902344,310083.56036376953,273481.7987060547,118506.32830810548,49106.98333740234
LPC(20:3),-1.0115476199207307,5.408492751280109,11.672510162795334,6.343037120816441e-4,0.05117245197218664,PC,94740.04693603516,110331.12768554688,116292.24896240234,80914.425048828125,112521.96795654295,134435.2494506836,135188.58862304688,99237.82635498048,157548.51043701172,113148.68768310548,92257.826416015625,249838.69659423828,169821.20959472656,226833.39764404297,199600.21392822263,199027.4943847656,366901.7280883789,348687.82733154297,232944.0368652344,326418.57751464844,290651.77752685547,129644.70874023438,48541.02307128906
[TG(58:11)|TG(57:4)]_FA20:4,-0.9948547296989649,6.995449872739337,11.297896696079992,7.759494413771059e-4,0.05946806565188129,TAG,242511.53692626956,125109.96839904784,205277.03411865237,146240.6307373047,203827.9323120117,522514.7331237793,663918.8178100586,233842.0167236328,619831.244934082,883801.41796875,244390.455078125,216828.1354370117,326750.12384033203,212011.49542236328,664455.4411010742,236881.91778564453,1389615.1209716797,1121197.1303100586,1281541.2108154297,1114031.9205932615,741073.7285766602,1268446.6705932615,51941.92361450195
LPC(20:5),-0.9960894143421152,5.217652275961488,11.32517599116727,7.646328002273819e-4,0.05946806565188129,PC,81405.0048828125,99509.64782714844,101599.88635253906,74120.2661743164,102395.78747558594,113237.92889404295,122408.94842529295,88920.8862915039,136563.2501220703,96879.42669677734,78047.2455444336,226389.99688720703,149025.68963623047,200338.51293945312,178841.05297851562,169679.2530822754,310953.29998779297,288949.46142578125,206539.89331054688,273537.4771118164,254635.67962646484,115921.98809814452,47736.003662109375
PE(38:6),-0.9931005784405028,9.89926722492769,11.25891272992547,7.92416121174743e-4,0.05946806565188129,PE,966143.047607422,2263794.1772460938,902814.639892578,888337.0661621094,2434783.3359375,3203677.743408203,4726118.489013672,888733.21484375,9550091.053466797,2296351.3408203125,2912027.387939453,5047215.410400391,1301386.884765625,1359327.8920898438,1740542.4760742188,3367245.0888671875,15037976.588867188,10983687.037109377,2917959.9802246094,17349277.5859375,11787906.68725586,1302656.1987304688,125977.90869140624
PC(16:4),-0.9875654392116533,5.946332270301912,11.13592455250523,8.467171672024641e-4,0.06209900678550799,PC,135189.81048583984,165282.03289794922,178542.11444091797,108004.6668701172,175047.8319091797,187325.63372802731,206440.91748046875,139524.38891601562,265506.041015625,142135.36987304688,146605.52996826172,479058.6723022461,185936.6541748047,294142.5793457031,228226.03643798828,337856.94372558594,610445.4631958008,567105.9019775391,310050.7824707031,489498.51708984375,382020.98529052734,146694.08947753906,48050.343505859375
PI(40:2),-0.9751343152234699,5.319508758643661,10.862338292987715,9.813970162989606e-4,0.07037707047992768,PI,60673.744049072266,57221.06396484375,77092.16561889648,50426.483642578125,80909.34552001953,178674.99057006836,206837.07431030276,90189.72625732422,244676.7191162109,176819.29098510742,57745.18426513672,74752.28497314453,103353.72732543944,70749.74499511719,177864.8126525879,67138.58416748047,396760.8666381836,375530.6838989258,430470.5051269531,333209.3413696289,204951.8324279785,405940.8297729492,31088.42218017578
PC(19:1)|LPC(20:1)|PC(O-20:1)|PC(P-20:0),-0.9711375631914264,5.528089962155136,10.775111228128253,0.0010287403375408611,0.07216837107052955,PC,97828.64715576172,121159.04815673828,127874.76953125,91686.9053955078,124856.1069946289,149196.25030517578,146836.70947265625,108441.68713378906,177243.5913696289,130745.70916748048,106399.9873046875,280943.24041748047,180654.89630126956,244147.93872070312,212859.81591796875,211057.89575195312,396754.806640625,374617.54888916016,245403.7777099609,345075.943359375,319700.9610595703,143428.2095336914,49569.9833984375
DG(O-40:9)|DG(38:2)_C18:0,0.9570647176871164,2.8154078354675196,10.46891885128099,0.001213997448269686,0.08161603678263077,DAG,23712.92169570923,23379.8017616272,107668.90849685667,3940.600288391113,18264.72134780884,5568.120338439941,2600.000175476074,119329.34828186037,4661.080265045166,24338.081771850582,23772.50164413452,25603.20179367065,24461.76170730591,23496.7416305542,18571.281299591064,23439.101692199707,2599.4601821899414,12896.380821228027,16531.30122756958,5658.960357666016,11806.80075454712,23907.561641693115,30989.722229003903
LPC(20:2)|PC(O-20:2),-0.9570509343218938,5.480034865817939,10.470246196908647,0.0012131255045421782,0.08161603678263077,PC,94015.64697265624,119305.0288696289,120769.26928710938,90154.54638671876,122015.66766357422,146518.1307373047,149773.29205322266,105891.0888671875,173220.99047851562,121276.24816894533,103127.72674560548,272883.8420410156,181591.13122558597,228930.57421875,204340.5952758789,199685.3739013672,385933.188293457,357220.2862548828,238768.3969116211,342207.56353759766,304497.48040771484,132690.12908935547,49336.74334716797
LPC(17:2)|LPC(P-18:1),-0.9518299311132522,6.038590426870804,10.358391612848209,0.0012888744923909294,0.08488159157031692,PC,144486.98962402344,177114.9102783203,188553.134765625,119052.38787841795,195523.95434570312,203031.01275634769,219378.1552734375,144946.52996826172,272235.5407104492,166709.87109375,169321.85229492188,502893.37365722656,194189.47534179688,314055.2379760742,245181.2987060547,352994.0256958008,636724.6820678711,610458.4664306641,309034.76068115234,517439.2770996094,414660.9482421875,167864.8897705078,50958.98394775391
