,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition,OzESI_Intensity,Retention_Time,n-7,n-9,n-10,n-12,db_pos
118,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD185_M4_WT_cortex_O3on_01,898.8 -> 599.5,121675.0,12.75,816.8,788.8,774.8,746.8,
119,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD185_M4_WT_cortex_O3on_01,900.8 -> 601.5,484901.0,14.24,818.8,790.8,776.8,748.8,
120,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD185_M4_WT_cortex_O3on_01,902.8 -> 603.5,451538.0,15.75,820.8,792.8,778.8,750.8,
121,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD185_M4_WT_cortex_O3on_01,904.8 -> 605.5,44999.0,17.26,822.8,794.8,780.8,752.8,
126,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD185_M4_WT_dienc_O3on_01,898.8 -> 599.5,33444.0,12.75,816.8,788.8,774.8,746.8,
127,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD185_M4_WT_dienc_O3on_01,900.8 -> 601.5,132821.0,14.24,818.8,790.8,776.8,748.8,
128,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD185_M4_WT_dienc_O3on_01,902.8 -> 603.5,216890.0,15.75,820.8,792.8,778.8,750.8,
129,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD185_M4_WT_dienc_O3on_01,904.8 -> 605.5,37140.0,17.26,822.8,794.8,780.8,752.8,
134,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD185_M4_WT_hippo_O3on_01,898.8 -> 599.5,13084.0,12.75,816.8,788.8,774.8,746.8,
135,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD185_M4_WT_hippo_O3on_01,900.8 -> 601.5,51521.0,14.24,818.8,790.8,776.8,748.8,
136,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD185_M4_WT_hippo_O3on_01,902.8 -> 603.5,189084.0,15.75,820.8,792.8,778.8,750.8,
137,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD185_M4_WT_hippo_O3on_01,904.8 -> 605.5,48939.0,17.26,822.8,794.8,780.8,752.8,
143,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD189_M3_WT_cereb_O3on_01,846.8 -> 547.5,24674.0,12.75,764.8,736.8,722.8,694.8,
144,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD189_M3_WT_cereb_O3on_01,898.8 -> 599.5,55650.0,12.75,816.8,788.8,774.8,746.8,
145,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD189_M3_WT_cereb_O3on_01,900.8 -> 601.5,105000.0,14.24,818.8,790.8,776.8,748.8,
146,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD189_M3_WT_cereb_O3on_01,902.8 -> 603.5,244728.0,15.75,820.8,792.8,778.8,750.8,
147,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD189_M3_WT_cereb_O3on_01,904.8 -> 605.5,70558.0,17.26,822.8,794.8,780.8,752.8,
149,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",736.6,437.3,11282023_FAD189_M3_WT_cortex_O3on_01,736.6 -> 437.3,11134.0,12.76,654.6,626.6,612.6,584.6,
151,[TG(45:3)]_FA16:1,776.7,505.4,11282023_FAD189_M3_WT_cortex_O3on_01,776.7 -> 505.4,21409.0,11.24,694.7,666.7,652.7,624.7,
158,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD189_M3_WT_cortex_O3on_01,846.8 -> 547.5,67424.0,12.75,764.8,736.8,722.8,694.8,
159,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD189_M3_WT_cortex_O3on_01,870.8 -> 599.5,39952.0,11.26,788.8,760.8,746.8,718.8,
160,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD189_M3_WT_cortex_O3on_01,896.8 -> 597.5,13932.0,12.75,814.8,786.8,772.8,744.8,
161,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD189_M3_WT_cortex_O3on_01,898.8 -> 599.5,128707.0,12.75,816.8,788.8,774.8,746.8,
162,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD189_M3_WT_cortex_O3on_01,900.8 -> 601.5,284046.0,14.24,818.8,790.8,776.8,748.8,
163,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD189_M3_WT_cortex_O3on_01,902.8 -> 603.5,522383.0,15.75,820.8,792.8,778.8,750.8,
164,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD189_M3_WT_cortex_O3on_01,904.8 -> 605.5,75106.0,17.26,822.8,794.8,780.8,752.8,
169,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD189_M3_WT_dienc_O3on_01,846.8 -> 547.5,17383.0,14.24,764.8,736.8,722.8,694.8,
170,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD189_M3_WT_dienc_O3on_01,898.8 -> 599.5,38987.0,12.75,816.8,788.8,774.8,746.8,
171,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD189_M3_WT_dienc_O3on_01,900.8 -> 601.5,132562.0,14.24,818.8,790.8,776.8,748.8,
172,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD189_M3_WT_dienc_O3on_01,902.8 -> 603.5,318610.0,15.75,820.8,792.8,778.8,750.8,
173,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD189_M3_WT_dienc_O3on_01,904.8 -> 605.5,79649.0,17.26,822.8,794.8,780.8,752.8,
175,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD189_M3_WT_hippo_O3on_01,900.8 -> 601.5,13619.0,14.24,818.8,790.8,776.8,748.8,
176,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD189_M3_WT_hippo_O3on_01,902.8 -> 603.5,85532.0,15.75,820.8,792.8,778.8,750.8,
177,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD189_M3_WT_hippo_O3on_01,904.8 -> 605.5,21881.0,17.26,822.8,794.8,780.8,752.8,
181,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD93_F4_5xFAD_cereb_O3on_01,846.8 -> 547.5,11695.0,14.24,764.8,736.8,722.8,694.8,
182,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD93_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5,12601.0,14.24,816.8,788.8,774.8,746.8,
183,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD93_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5,29360.0,14.24,818.8,790.8,776.8,748.8,
184,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD93_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5,191178.0,15.75,820.8,792.8,778.8,750.8,
185,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD93_F4_5xFAD_cereb_O3on_01,904.8 -> 605.5,41980.0,17.26,822.8,794.8,780.8,752.8,
190,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD93_F4_5xFAD_cortex_O3on_01,846.8 -> 547.5,15717.0,14.24,764.8,736.8,722.8,694.8,
191,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD93_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5,17871.0,14.24,816.8,788.8,774.8,746.8,
192,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD93_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5,46876.0,14.24,818.8,790.8,776.8,748.8,
193,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD93_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5,211340.0,15.75,820.8,792.8,778.8,750.8,
194,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD93_F4_5xFAD_cortex_O3on_01,904.8 -> 605.5,51779.0,17.26,822.8,794.8,780.8,752.8,
195,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",736.6,437.3,11292023_DOD93_F4_5xFAD_dienc_O3on_01,736.6 -> 437.3,11311.0,12.76,654.6,626.6,612.6,584.6,
201,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD93_F4_5xFAD_dienc_O3on_01,846.8 -> 547.5,12826.0,14.24,764.8,736.8,722.8,694.8,
202,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD93_F4_5xFAD_dienc_O3on_01,898.8 -> 599.5,15505.0,14.24,816.8,788.8,774.8,746.8,
203,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD93_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5,45881.0,14.24,818.8,790.8,776.8,748.8,
204,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD93_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5,252497.0,15.75,820.8,792.8,778.8,750.8,
205,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD93_F4_5xFAD_dienc_O3on_01,904.8 -> 605.5,61582.0,17.26,822.8,794.8,780.8,752.8,
210,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD93_F4_5xFAD_hippo_O3on_01,846.8 -> 547.5,14725.0,14.24,764.8,736.8,722.8,694.8,
211,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD93_F4_5xFAD_hippo_O3on_01,898.8 -> 599.5,12067.0,14.24,816.8,788.8,774.8,746.8,
212,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD93_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5,33943.0,14.24,818.8,790.8,776.8,748.8,
213,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD93_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5,238925.0,15.75,820.8,792.8,778.8,750.8,
214,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD93_F4_5xFAD_hippo_O3on_01,904.8 -> 605.5,45438.0,17.26,822.8,794.8,780.8,752.8,
220,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD94_F4_5xFAD_cereb_O3on_01,846.8 -> 547.5,37557.0,14.24,764.8,736.8,722.8,694.8,
221,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD94_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5,29659.0,14.24,816.8,788.8,774.8,746.8,
222,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD94_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5,128023.0,14.24,818.8,790.8,776.8,748.8,
223,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD94_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5,307727.0,15.75,820.8,792.8,778.8,750.8,
224,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD94_F4_5xFAD_cereb_O3on_01,904.8 -> 605.5,66776.0,17.26,822.8,794.8,780.8,752.8,
230,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD94_F4_5xFAD_cortex_O3on_01,846.8 -> 547.5,22719.0,14.24,764.8,736.8,722.8,694.8,
231,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD94_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5,24925.0,14.24,816.8,788.8,774.8,746.8,
232,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD94_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5,66654.0,14.24,818.8,790.8,776.8,748.8,
233,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD94_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5,268366.0,15.75,820.8,792.8,778.8,750.8,
234,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD94_F4_5xFAD_cortex_O3on_01,904.8 -> 605.5,58884.0,17.26,822.8,794.8,780.8,752.8,
239,[TG(50:3)]_FA18:1,846.8,547.5,11292023_DOD94_F4_5xFAD_dienc_O3on_01,846.8 -> 547.5,14731.0,14.24,764.8,736.8,722.8,694.8,
240,[TG(54:5)]_FA18:1,898.8,599.5,11292023_DOD94_F4_5xFAD_dienc_O3on_01,898.8 -> 599.5,12488.0,14.24,816.8,788.8,774.8,746.8,
241,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD94_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5,30950.0,14.24,818.8,790.8,776.8,748.8,
242,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD94_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5,219742.0,15.75,820.8,792.8,778.8,750.8,
243,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD94_F4_5xFAD_dienc_O3on_01,904.8 -> 605.5,48982.0,17.26,822.8,794.8,780.8,752.8,
247,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_DOD94_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5,19596.0,14.24,818.8,790.8,776.8,748.8,
248,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_DOD94_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5,155550.0,15.75,820.8,792.8,778.8,750.8,
249,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_DOD94_F4_5xFAD_hippo_O3on_01,904.8 -> 605.5,44690.0,17.26,822.8,794.8,780.8,752.8,
254,[TG(50:3)]_FA18:1,846.8,547.5,11292023_FAD185_M1_5xFAD_cereb_O3on_01,846.8 -> 547.5,12311.0,14.24,764.8,736.8,722.8,694.8,
255,[TG(54:5)]_FA18:1,898.8,599.5,11292023_FAD185_M1_5xFAD_cereb_O3on_01,898.8 -> 599.5,20312.0,14.24,816.8,788.8,774.8,746.8,
256,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_FAD185_M1_5xFAD_cereb_O3on_01,900.8 -> 601.5,60576.0,14.24,818.8,790.8,776.8,748.8,
257,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_FAD185_M1_5xFAD_cereb_O3on_01,902.8 -> 603.5,218589.0,15.75,820.8,792.8,778.8,750.8,
258,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_FAD185_M1_5xFAD_cereb_O3on_01,904.8 -> 605.5,44224.0,17.26,822.8,794.8,780.8,752.8,
263,[TG(50:3)]_FA18:1,846.8,547.5,11292023_FAD185_M1_5xFAD_cortex_O3on_01,846.8 -> 547.5,15021.0,14.24,764.8,736.8,722.8,694.8,
264,[TG(54:5)]_FA18:1,898.8,599.5,11292023_FAD185_M1_5xFAD_cortex_O3on_01,898.8 -> 599.5,34996.0,14.24,816.8,788.8,774.8,746.8,
265,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_FAD185_M1_5xFAD_cortex_O3on_01,900.8 -> 601.5,88999.0,14.24,818.8,790.8,776.8,748.8,
266,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11292023_FAD185_M1_5xFAD_cortex_O3on_01,902.8 -> 603.5,225328.0,15.75,820.8,792.8,778.8,750.8,
267,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11292023_FAD185_M1_5xFAD_cortex_O3on_01,904.8 -> 605.5,45036.0,17.26,822.8,794.8,780.8,752.8,
272,[TG(50:3)]_FA18:1,846.8,547.5,11292023_FAD185_M1_5xFAD_dienc_O3on_01,846.8 -> 547.5,11134.0,14.24,764.8,736.8,722.8,694.8,
273,[TG(54:5)]_FA18:1,898.8,599.5,11292023_FAD185_M1_5xFAD_dienc_O3on_01,898.8 -> 599.5,16466.0,14.24,816.8,788.8,774.8,746.8,
274,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11292023_FAD185_M1_5xFAD_dienc_O3on_01,900.8 -> 601.5,52682.0,14.24,818.8,790.8,776.8,748.8,
