,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
10,CAR(4:0)_QUAL,232.2,60.1,86956.88671875,232.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(4:0),None
11,CAR(4:0),232.2,85.1,281899.7983398437,232.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(4:0),None
12,CAR(5:1)_QUAL,244.2,60.1,1288613.4504394531,244.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(5:1),None
13,CAR(5:1),244.2,85.1,1686422.3232421875,244.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(5:1),None
14,CAR(5:0)_QUAL,246.2,60.1,433832.7741699219,246.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(5:0),None
15,CAR(5:0),246.2,85.1,1862701.5966796875,246.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(5:0),None
16,CAR(6:1)_QUAL,258.2,60.1,254430.89892578125,258.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(6:1),None
17,CAR(6:1),258.2,85.1,211241.2548828125,258.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(6:1),None
18,CAR(6:0)_QUAL,260.2,60.1,183513.93237304688,260.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(6:0),None
19,CAR(6:0),260.2,85.1,602169.6025390625,260.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(6:0),None
20,CAR(7:0)_QUAL,274.2,60.1,510361.294921875,274.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(7:0),None
21,CAR(7:0),274.2,85.1,350296.0261230469,274.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(7:0),None
22,CAR(8:1)_QUAL,286.2,60.1,3024296.56640625,286.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(8:1),None
23,CAR(8:1),286.2,85.1,269351.9016113281,286.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(8:1),None
24,CAR(8:0)_QUAL,288.2,60.1,2937554.66796875,288.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(8:0),None
25,CAR(8:0),288.2,85.1,312135.6616210937,288.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(8:0),None
26,CAR(9:0)_QUAL,302.2,60.1,881181.46875,302.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(9:0),None
27,CAR(9:0),302.2,85.1,254375.1779785156,302.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(9:0),None
28,CAR(10:3)_QUAL,310.2,60.1,633677.9819335938,310.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,3,(10:3),None
29,CAR(10:3),310.2,85.1,611447.3291015625,310.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,3,(10:3),None
30,CAR(10:2)_QUAL,312.2,60.1,585456.421875,312.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(10:2),None
31,CAR(10:2),312.2,85.1,642041.1708984375,312.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(10:2),None
32,CAR(10:1)_QUAL,314.2,60.1,1046036.49609375,314.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(10:1),None
33,CAR(10:1),314.2,85.1,634009.9052734375,314.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(10:1),None
34,CAR(10:0)_QUAL,316.2,60.1,1358931.08203125,316.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(10:0),None
35,CAR(10:0),316.2,85.1,359584.1459960937,316.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(10:0),None
36,CAR(11:0)_QUAL,330.3,60.1,870968.1220703125,330.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(11:0),None
37,CAR(11:0),330.3,85.1,307762.5842285156,330.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(11:0),None
38,CAR(12:0)_QUAL,344.3,60.1,1316580.955078125,344.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(12:0),None
39,CAR(12:0),344.3,85.1,6397297.76171875,344.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(12:0),None
40,CAR(14:2)_QUAL,368.3,60.1,898668.984375,368.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(14:2),None
41,CAR(14:2),368.3,85.1,397565.6098632813,368.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(14:2),None
42,CAR(14:1)_QUAL,370.3,60.1,902707.2607421876,370.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(14:1),None
43,CAR(14:1),370.3,85.1,368998.5258789063,370.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(14:1),None
44,CAR(14:0)_QUAL,372.3,60.1,886736.28125,372.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(14:0),None
45,CAR(14:0),372.3,85.1,372286.3051757813,372.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(14:0),None
46,CAR(16:2)_QUAL,396.3,60.1,720453.970703125,396.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(16:2),None
47,CAR(16:2),396.3,85.1,256414.337890625,396.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(16:2),None
48,CAR(16:1)_QUAL,398.3,60.1,740003.9345703125,398.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(16:1),None
49,CAR(16:1),398.3,85.1,271161.9794921875,398.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(16:1),None
50,CAR(16:0)_QUAL,400.3,60.1,743383.630859375,400.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(16:0),None
51,CAR(16:0),400.3,85.1,283562.0600585937,400.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(16:0),None
52,CAR(17:0)_QUAL,414.4,60.1,595367.421875,414.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(17:0),None
53,CAR(17:0),414.4,85.1,1142501.9833984375,414.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(17:0),None
54,CAR(18:4)_QUAL,420.3,60.1,756819.1298828125,420.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(18:4),None
55,CAR(18:4),420.3,85.1,3109092.08203125,420.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(18:4),None
56,CAR(18:3)_QUAL,422.3,60.1,757884.5498046875,422.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,3,(18:3),None
57,CAR(18:3),422.3,85.1,3175149.642578125,422.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,3,(18:3),None
58,CAR(18:2)_QUAL,424.3,60.1,725255.8544921875,424.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(18:2),None
59,CAR(18:2),424.3,85.1,3252238.28515625,424.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(18:2),None
60,CAR(18:1)_QUAL,426.4,60.1,735194.3125,426.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(18:1),None
61,CAR(18:1),426.4,85.1,3208659.5,426.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(18:1),None
62,CAR(18:0)_QUAL,428.4,60.1,760985.4560546875,428.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(18:0),None
63,CAR(18:0),428.4,85.1,3204698.263671875,428.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(18:0),None
64,CAR(20:4)_QUAL,448.3,60.1,1701772.712890625,448.3 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(20:4),None
65,CAR(20:4),448.3,85.1,571720.7197265625,448.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(20:4),None
66,CAR(20:2)_QUAL,452.4,60.1,1927371.623046875,452.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(20:2),None
67,CAR(20:2),452.4,85.1,542018.3017578125,452.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(20:2),None
68,CAR(20:1)_QUAL,454.4,60.1,2005452.6015625,454.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(20:1),None
69,CAR(20:1),454.4,85.1,602583.583984375,454.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(20:1),None
70,CAR(20:0)_QUAL,456.4,60.1,2018746.53125,456.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(20:0),None
71,CAR(20:0),456.4,85.1,631235.4873046875,456.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(20:0),None
72,CAR(22:6)_QUAL,472.4,60.1,1836675.162109375,472.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,6,(22:6),None
73,CAR(22:6),472.4,85.1,318534.2431640625,472.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,6,(22:6),None
74,CAR(22:5)_QUAL,474.4,60.1,2717660.275390625,474.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,5,(22:5),None
75,CAR(22:5),474.4,85.1,303855.1018066406,474.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,5,(22:5),None
76,CAR(22:4)_QUAL,476.4,60.1,2787949.4111328125,476.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(22:4),None
77,CAR(22:4),476.4,85.1,317976.1638183594,476.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(22:4),None
78,CAR(22:2)_QUAL,480.4,60.1,2741514.162109375,480.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(22:2),None
79,CAR(22:2),480.4,85.1,311783.7636947632,480.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(22:2),None
80,CAR(22:0)_QUAL,484.4,60.1,2740927.288986206,484.4 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(22:0),None
81,CAR(22:0),484.4,85.1,246921.7578163147,484.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(22:0),None
82,CAR(26:0)_QUAL,540.5,60.1,559594.85887146,540.5 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(26:0),None
83,CAR(26:0),540.5,85.1,310939.6223144531,540.5 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(26:0),None
84,Cer(d18:1/2:0),342.3,264.4,33699.42239379883,342.3 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/2:0),None
85,CerP(d18:1/2:0),422.3,264.4,32758.722259521484,422.3 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/2:0),None
86,Cer(d12:0/14:0),428.4,182.4,44455.723205566406,428.4 -> 182.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d12:0/14:0),None
